Credit Card,Travel Partner
Capital One,AeroMexico
Capital One,Air Canada
Capital One,Air France
Capital One,Avianca 
Capital One,British Airways
Capital One,Cathay Pacific
Capital One,Emirates
Capital One,Etihad
Capital One,EVA Air
Capital One,Finnair
Capital One,Qantas
Capital One,Singapore
Capital One,TAP Air Portugal
Capital One,Turkish
Capital One,Virgin
Capital One,Accor Live Limitless
Capital One,Choice Privileges
Capital One,Wyndham
American Express,Aer Lingus
American Express,Avianca 
American Express,AeroMexico
American Express,Air Canada
American Express,Air France
American Express,ANA
American Express,British Airways
American Express,Cathay Pacific
American Express,Delta
American Express,Emirates
American Express,Etihad
American Express,Hawaiian
American Express,Iberia
American Express,JetBlue
American Express,Qantas
American Express,Singapore
American Express,Virgin
American Express,Qatar
American Express,Choice Privileges
American Express,Hilton Honors
American Express,Marriott Bonvoy
Chase,Aer Lingus
Chase,Air Canada
Chase,Air France
Chase,British Airways
Chase,Emirates
Chase,Iberia
Chase,JetBlue
Chase,Singapore
Chase,Southwest
Chase,United
Chase,Virgin
Chase,Marriott Bonvoy
Chase,IHG
Chase,Hyatt
BILT,Alaska
BILT,British Airways
BILT,Iberia
BILT,Virgin
BILT,United
BILT,Turkish
BILT,Emirates
BILT,Cathay Pacific
BILT,Avianca 
BILT,Air France
BILT,Air Canada
BILT,Aer Lingus
BILT,Hilton Honors
BILT,Hyatt
BILT,Marriott Bonvoy
BILT,IHG
Citi,Cathay Pacific
Citi,AeroMexico
Citi,Avianca 
Citi,Emirates
Citi,Etihad
Citi,EVA Air
Citi,Air France
Citi,JetBlue
Citi,Qantas
Citi,Qatar
Citi,Singapore
Citi,Thai
Citi,Turkish
Citi,Virgin
Citi,Accor Live Limitless
Citi,Choice Privileges
Citi,Leaders Club
Citi,Wyndham
Wells Fargo,Aer Lingus
Wells Fargo,Air France
Wells Fargo,Avianca
Wells Fargo,British Airways
Wells Fargo,Iberia
Wells Fargo,Virgin
Wells Fargo,Choice Privileges
